"Anonymous" "EBronte_Wuthering" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill" "Fielding_Joseph" "Fielding_Tom" "Richardson_Clarissa" "Richardson_Pamela" "Sterne_Sentimental" "Sterne_Tristram" "Thackeray_Barry" "Thackeray_Pendennis" "Thackeray_Vanity" "Trollope_Barchester" "Trollope_Phineas" "Trollope_Prime"
"we" 0.254728582303683 0.271843994134344 0.204964594916693 0.171831561091303 0.175092597046515 0.239639955578935 0.276231195747992 0.187400475852258 0.256726554356386 0.196198651134273 0.188058298072402 0.261006560435168 0.212100695858839 0.184151181226427 0.207744681281244 0.176299306935198 0.185820519239652
"will" 0.275223985477543 0.206670039704659 0.154419027391988 0.396123580504814 0.171725431718697 0.269594950026302 0.379602537192147 0.706737927164372 0.698259812735276 0.169221336603311 0.239881181348036 0.188896639834461 0.194402227197771 0.171020972226325 0.276992908374992 0.386341922079498 0.320161350037199
"are" 0.142003864847456 0.257265609590862 0.189661808418387 0.244710760676646 0.183751022175189 0.301011163715004 0.325045440318843 0.300772586934149 0.325004893280956 0.149601471489884 0.238812668290807 0.1857614258953 0.241598143627287 0.214350661926661 0.219370296048807 0.254780933893447 0.240473613133667
"little" 0.276687942847104 0.152644261690578 0.203573432507756 0.196334050607065 0.193371494540382 0.187766672511544 0.184345558908743 0.105710434168594 0.201193505364402 0.291845493562232 0.139975210497072 0.143436037716624 0.276714152875439 0.368630617677857 0.166802298838955 0.129286158419145 0.130814824739869
"now" 0.21959360543421 0.200667175480872 0.259683649668208 0.198218857492893 0.215979604598586 0.234525688234263 0.293172610040229 0.21276683860574 0.221677007041773 0.0858369098712446 0.129824336453391 0.152057876049317 0.128103201737259 0.121454433250941 0.239588756514135 0.249852136065151 0.244704820402881
"more" 0.264976283890613 0.18694634296936 0.262002253683102 0.296857084517882 0.258790706623695 0.271786778888304 0.288004042968021 0.278408773241283 0.266285521805825 0.27958307786634 0.251100568448946 0.199086085136735 0.189907378014007 0.162814591601262 0.174384221513453 0.179332413291072 0.15514426653785
"them" 0.450898869824911 0.198952071416933 0.228614355868619 0.189108957544725 0.183751022175189 0.326582500438366 0.183196988448253 0.275923905053187 0.279258406201494 0.360515021459227 0.299183656024277 0.190464246804041 0.174737262018805 0.187433733476453 0.200668220118379 0.157721530505467 0.163606681076278
"am" 0.0790536979563155 0.0831825471010454 0.0315330146025681 0.145758399170685 0.0505074799172639 0.192150330235549 0.232585518249349 0.270436487804474 0.316128709220762 0.100551808706315 0.110056844894645 0.0964078286292061 0.0983248258948261 0.071231383825552 0.119288916745434 0.181607243057978 0.157965071383993
"out" 0.152251566434385 0.265841129910557 0.267103182515871 0.213611447060487 0.263119919188032 0.176807528201531 0.14615559109743 0.18719340350325 0.18071000368703 0.441446965052115 0.267662520836005 0.261790363919958 0.293569837314552 0.283284259177195 0.17236237546692 0.159996360272373 0.162901479864742
"mrs" 0.0570943374128945 0.114054420251949 0.140971124105599 0.219894136679913 0.281879840300159 0.0898649833421006 0.181761275372639 0.118134775109075 0.277892839423003 0 0.0544941659187075 0.0478120125722079 0.167714060169175 0.269169284502086 0.383139825817963 0.0799981801361865 0.166074885316653
"know" 0.175674884347368 0.105478899932253 0.215630173385208 0.220522405641855 0.1967386598682 0.105938394996785 0.135531314337892 0.194751544242043 0.217125117780135 0.0662170447578173 0.106317049194341 0.114435308779383 0.156476937209766 0.11357630785088 0.159220376164457 0.217625381033986 0.267623859777791
"any" 0.137611992738771 0.120057284475736 0.184560879585619 0.247537971005387 0.194333541776901 0.330966158162371 0.348303992143778 0.220946196391557 0.220539034726363 0.134886572654813 0.198743428644698 0.173220570138655 0.146082598472313 0.136225918376056 0.231501372328004 0.26918818908385 0.266566057960488
"such" 0.232769221760262 0.0883278592928626 0.106192063882178 0.119685237250067 0.102939054307567 0.24110117482027 0.247229791620604 0.255837887199409 0.23328432465895 0.0980993255671367 0.173099115271189 0.162247321351591 0.150296519582091 0.143447533326112 0.345230212445473 0.234307465991295 0.198866741653062
"up" 0.143467822217017 0.244402329111319 0.286115735438008 0.208585295364946 0.23762566742027 0.13954643754749 0.107965623286118 0.158720955514647 0.176385708888474 0.343347639484979 0.264991238192931 0.18654522938009 0.233732157555701 0.238641548576849 0.162253145234256 0.204355540727036 0.177005504095456
"than" 0.18885050067342 0.170652854361938 0.235570167913303 0.258218543358412 0.206359132233393 0.379917002747092 0.358066841057948 0.234820043775095 0.219628656874036 0.235438381361128 0.222784972432363 0.169301552714703 0.162095498689471 0.125393495950972 0.178933375118152 0.204355540727036 0.177710705306992
"some" 0.238625051238508 0.133778116987248 0.173431580314124 0.22649096078031 0.192409447303863 0.233795078613595 0.259576924070878 0.129213145781004 0.141108567110779 0.152053954629062 0.122879001581399 0.146571251655785 0.155353224913825 0.150340893051165 0.144561992327094 0.167579126162059 0.17312689743201
"then" 0.263512326521052 0.246974985207227 0.170649255496251 0.124711388945608 0.203472990523835 0.187036062890876 0.202148401046348 0.206761740484508 0.233967108048195 0.24770079705702 0.154934393298286 0.123057147112076 0.0913016240451957 0.0994613331757708 0.204711912211445 0.297244422875688 0.28419608824888
"much" 0.162499268021315 0.0831825471010454 0.140043682499641 0.16869021628159 0.149598345278753 0.187036062890876 0.232298375634226 0.177461003099873 0.239656969625243 0.196198651134273 0.170427832628115 0.145787448170995 0.144958886176372 0.142134512426102 0.217348450002275 0.192223115303538 0.201687546499205
"their" 0.316214791825262 0.125202596667553 0.21052924455244 0.164606468028963 0.191928423685603 0.295896896370331 0.223971239795669 0.228814945653862 0.191634537914962 0.181483752299203 0.184852758900714 0.157544500442849 0.191031090309948 0.245534908301903 0.194097220467148 0.108812690516993 0.132577827768708
