"Austen_Emma" "Austen_Pride" "Austen_Sense" "Eliot_Adam" "Eliot_Middlemarch" "Eliot_Mill"
"then" 0.106577249808348 0.143760782058654 0.12876254180602 0.170649255496251 0.124711388945608 0.203472990523835
"am" 0.264884977593847 0.266162819354309 0.228260869565217 0.0315330146025681 0.145758399170685 0.0505074799172639
"again" 0.136493670807182 0.145403762425039 0.122909698996656 0.176213905131998 0.106177454568301 0.180864880465631
"how" 0.231229003970158 0.189764232317424 0.197324414715719 0.108974388700051 0.111517740744813 0.0957237000336717
"too" 0.158307727785499 0.1174730961965 0.157190635451505 0.150245540165177 0.134763692336689 0.138053778440521
"time" 0.173265938284917 0.164298036638462 0.199832775919732 0.128914383228146 0.121570044135895 0.115445668382318
"go" 0.0822701577467949 0.0854349790520003 0.0819397993311037 0.212384127764356 0.140418112994173 0.175092597046515
"made" 0.124028495391001 0.103507763082231 0.115384615384615 0.130769266440062 0.15895204737148 0.161623935735245
"thought" 0.140856482202846 0.0920069005175388 0.096989966555184 0.169721813890293 0.128166868236292 0.158737794025687
"miss" 0.375201780027049 0.232481721843424 0.175585284280936 0.032460456208526 0.0490049790315234 0.0745586608302468
"make" 0.0947353331629759 0.137188860593116 0.116220735785953 0.151636702574114 0.125653792388522 0.136129683967483
"himself" 0.0909957805381216 0.103507763082231 0.0953177257525084 0.122422291986441 0.18314040240627 0.110635432199721
"every" 0.271117565301938 0.162655056272078 0.315217391304348 0.0681669580379045 0.0524604583222077 0.0567607869546395
"being" 0.223126639949641 0.143760782058654 0.137959866220736 0.0663120748259888 0.125025523426579 0.0870652749049978
"without" 0.133377376953137 0.140474821325885 0.146321070234114 0.0955264854136621 0.123140716540751 0.12602818798403
"after" 0.100344662100257 0.164298036638462 0.168896321070234 0.128914383228146 0.107433992492186 0.109192361344942
"nothing" 0.158307727785499 0.145403762425039 0.156354515050167 0.110365551108988 0.0907848650007068 0.100533936216268
"way" 0.0966051094754031 0.0887209397847696 0.0618729096989967 0.157201352209861 0.122198313097837 0.136129683967483
"may" 0.138986705890419 0.158547605356116 0.146321070234114 0.101554855852388 0.112460144187727 0.0697484246476502
"herself" 0.173889197055726 0.187299761767847 0.213210702341137 0.0616748667961993 0.0801042926476825 0.0668622829380923
"o" 0.00498607016647242 0.00492894109915386 0.0108695652173913 0.338052465371649 0.0197904723011921 0.21068834479773
"always" 0.148335587452554 0.097757331799885 0.103678929765886 0.0755864908855676 0.116858026921325 0.114002597527539
"great" 0.165163574264399 0.115830115830116 0.124581939799331 0.096917647822599 0.0873293857100225 0.0990908653614893
"maggie" 0 0 0 0 0 0.592140074077637
"shall" 0.136493670807182 0.133081409677154 0.107023411371237 0.080223698915357 0.103036109758588 0.0976477945067103
"away" 0.0860097103716492 0.0961143514335004 0.0936454849498328 0.127523220819209 0.0980099580630468 0.119774880946654
"mind" 0.0797771226635587 0.0468249404419617 0.0836120401337793 0.109901830306009 0.119999371731038 0.141420943768339
"first" 0.129014565557474 0.119116076562885 0.133779264214047 0.102482297458346 0.0801042926476825 0.0913944874693347
"thing" 0.248056990782003 0.0345025876940771 0.154682274247492 0.0760502116885466 0.0731933340663138 0.0726345663572081
"though" 0.110316802433202 0.185656781401462 0.180602006688963 0.0686306788408835 0.0700519892566007 0.0716725191206888
"young" 0.119665683995338 0.105972233631808 0.0861204013377926 0.0973813686255779 0.107433992492186 0.0750396844485064
"felt" 0.0704282411014229 0.0821490183192311 0.088628762541806 0.0978450894285569 0.115287354516469 0.104382125162345
"quite" 0.175758973368153 0.0788630575864618 0.0777591973244147 0.0834697445362096 0.0797901581667112 0.100533936216268
"while" 0.0828934165176039 0.0616117637394233 0.0911371237458194 0.108046947094094 0.10115130287276 0.106787243253644
"down" 0.0436281139566337 0.0599687833730387 0.06438127090301 0.147926936150283 0.0829315029764242 0.133724565876185
"tom" 0.000623258770809052 0 0 0.00417348722681048 0.00251307584777043 0.506517870027418
"adam" 0 0 0 0.490152888748742 0.00219894136679913 0.00144307085477897
"better" 0.107823767349966 0.0755770968536926 0.0652173913043478 0.114539038335799 0.0942403442913912 0.0841791331954399
"most" 0.155191433931454 0.154440154440154 0.12876254180602 0.0514730091306626 0.0788477547237973 0.0509885035355236
"old" 0.0517304779771513 0.0106793723815 0.0359531772575251 0.181314833964766 0.0989523615059607 0.100533936216268
"life" 0.0498607016647242 0.0460034502587694 0.048494983277592 0.100163693443452 0.111831875225784 0.132762518639665
"look" 0.0741677937262772 0.0468249404419617 0.0568561872909699 0.134942753666872 0.0753922754331129 0.123142046274472
"us" 0.0922422980797397 0.100221802349462 0.0752508361204013 0.121958571183462 0.0687954513327155 0.0909134638510751
"ever" 0.120288942766147 0.106793723815 0.141304347826087 0.0908892773838727 0.0559159376128921 0.0779258261580644
"day" 0.0966051094754031 0.106793723815 0.117892976588629 0.0987725310345147 0.0609420893084329 0.0875462985232575
"came" 0.0741677937262772 0.073934116487308 0.0744147157190636 0.113611596729841 0.0857587133051659 0.0942806291788927
"even" 0.0822701577467949 0.0673621950217695 0.104515050167224 0.064457191614073 0.106491589049272 0.0885083457597768
"last" 0.0741677937262772 0.097757331799885 0.0852842809364548 0.120103687971546 0.064083434118146 0.095242676415412
"two" 0.110940061204011 0.110901174730962 0.126254180602007 0.0839334653391886 0.0650258375610599 0.0711914955024292
"long" 0.0897492629965035 0.0936498808839234 0.0852842809364548 0.111756713517925 0.0606279548274616 0.0880273221415172
"where" 0.0536002542895785 0.0731126263041157 0.0760869565217391 0.122422291986441 0.0681671823707729 0.105344172398865
"soon" 0.139609964661228 0.177441879569539 0.15133779264214 0.0528641715395994 0.0364395997926712 0.0548366924816008
"over" 0.0816468989759858 0.0722911361209234 0.0819397993311037 0.0978450894285569 0.0741357375092277 0.0885083457597768
"dear" 0.150205363764982 0.124866507845231 0.0986622073578595 0.0329241770115049 0.0769629478379694 0.0572418105728991
"seemed" 0.0878794866840764 0.0542183520906925 0.0760869565217391 0.0658483540230098 0.108062261454129 0.0774448025398047
"mother" 0.0336559736236888 0.0903639201511542 0.169732441471572 0.115466479941757 0.0433505583740399 0.0894703929962961
"give" 0.0990981445586393 0.101043292532654 0.105351170568562 0.0649209124170519 0.0706802582185434 0.079849920631103
"our" 0.0617026183100962 0.0616117637394233 0.0618729096989967 0.118712525562609 0.0895283270768216 0.0711914955024292
"take" 0.0741677937262772 0.0657192146553849 0.0376254180602007 0.110829271911967 0.084816309862252 0.0875462985232575
