ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
71757;41-50;m;4;Bouvier;2012;m;gestromt
71761;41-50;m;9;Jack Russel Terrier;2010;m;tricolor
71893;41-50;w;6;Border Collie;2012;w;tricolor
71915;71-80;w;1;Mischling klein;2002;m;grau
71991;41-50;m;6;Border Collie;2015;m;schwarz/weiss
72136;61-70;m;7;Labrador Retriever;2007;m;choco
72580;41-50;m;10;Prager Rattler;2013;m;hellbraun
72580;41-50;m;10;Prager Rattler;2013;m;braun
80007;71-80;m;11;Labrador Retriever;2006;m;blondfarben
80011;41-50;w;12;Papillon;2001;w;schwarz
80011;41-50;w;12;Malteser;2004;m;weiss
80011;41-50;w;12;Yorkshire Terrier;2009;m;tricolor
80011;41-50;w;12;Jura Laufhund;2003;m;schwarz/braun/weiss
80017;61-70;m;6;Spanischer Wasserhund;2004;w;braun/weiss
80017;61-70;m;6;Labrador Retriever;2006;w;schwarz
80021;41-50;w;11;Labrador Retriever;2011;w;schwarz
80023;71-80;m;11;Border Collie;2010;m;tricolor
80028;41-50;w;10;Border Collie;2015;w;tricolor
80056;81-90;m;7;Labrador Retriever;2006;w;schwarz
80059;71-80;w;12;Französische Bulldogge;2007;w;weiss
80068;51-60;m;9;Bayerischer Gebirgsschweisshund;2011;m;hirschrot mit Maske
80096;51-60;w;11;Malteser;2004;m;weiss
80097;61-70;m;6;Jack Russel Terrier;2006;m;schwarz/weiss
80099;71-80;m;12;Pinscher;2002;m;rot
80106;61-70;w;9;Labrador Retriever;2009;m;schwarz
80127;41-50;w;10;American Bulldog;2005;w;weiss
80143;81-90;w;9;Yorkshire Terrier;2007;w;schwarz/braun
80157;71-80;w;11;Mischling klein;2003;w;braun/weiss
80162;51-60;m;12;Parson Jack Russell Terrier;2008;m;weiss/rot
80162;51-60;m;12;Bouvier;2008;w;schwarz
80168;61-70;m;11;Labrador Retriever;2005;m;beige
80169;41-50;w;4;Jack Russel Terrier;2014;m;schwarz
80169;41-50;w;4;Jack Russel Terrier;2007;w;tricolor
80172;61-70;m;9;Labrador Retriever;2008;m;schwarz
80185;41-50;m;10;Labrador Retriever;2010;w;blondfarben
80187;51-60;w;3;Golden Retriever;2003;w;blondfarben
80188;51-60;w;10;Mischling klein;2014;m;braun
80198;81-90;w;7;Biewer Yorkshire Terrier;2015;m;tricolor
80201;51-60;m;3;Mischling klein;2007;w;schwarz
80204;51-60;w;11;Appenzeller;1998;m;dreifarbig
80205;41-50;m;5;Beauceron Berge de Beauce;2016;m;schwarz/braun
80205;41-50;m;5;Beauceron;2005;m;black/tan
80209;81-90;m;10;Bichon Havanais;2000;w;weiss
80217;51-60;w;3;Foxterrier;2007;w;braun/weiss
80223;41-50;m;11;Dachshund;2011;w;hellbraun
80226;71-80;w;6;Labrador Retriever;2010;m;braun
80230;61-70;w;9;Yorkshire Terrier;2006;m;braun/weiss
80230;61-70;w;9;Yorkshire Terrier;2006;w;schwarz/braun
