"ABronte_Agnes" "ABronte_Tenant" "Austen_Emma" "Austen_Pride" "Austen_Sense" "CBronte_Jane" "CBronte_Professor" "CBronte_Villette" "Dickens_Bleak" "Dickens_David" "Dickens_Hard"
"they" 0.390876617672893 0.183503786633512 0.337182995007697 0.493715600098579 0.433946488294314 0.270954915667287 0.243245982499803 0.231223993737898 0.240194630778101 0.210291415803735 0.350620328273099
"do" 0.289863559173157 0.298866102008978 0.397015837005366 0.28423560338454 0.27257525083612 0.24904337416362 0.195948152569286 0.197750587072055 0.289977358702836 0.252237841828417 0.295715496647916
"one" 0.297183346020964 0.253438454503613 0.27610363546841 0.219337878912347 0.268394648829431 0.309968148100643 0.279282424351626 0.275511885634244 0.271414307612257 0.252237841828417 0.280303614086461
"your" 0.196170287521227 0.364616644450953 0.228735968886922 0.373778033352501 0.32190635451505 0.362876504414374 0.265768758657192 0.206505170353891 0.238507080678958 0.160514990254447 0.338098173691916
"we" 0.254728582303683 0.19605616291789 0.222503381178832 0.207837016347655 0.179765886287625 0.16406934735672 0.132884379328596 0.174576690149549 0.366479629864012 0.410795332201712 0.119442089851275
"will" 0.275223985477543 0.353259732574612 0.34840165288226 0.334346504559271 0.297658862876254 0.32813869471344 0.253381231770628 0.218864582045895 0.226131713285238 0.146812491086384 0.223472297141096
"are" 0.142003864847456 0.229529166342895 0.283582740718119 0.278485172102193 0.195652173913043 0.326000983347228 0.261264203425714 0.204960243892391 0.303477759495985 0.20134284491847 0.210950142559914
"little" 0.276687942847104 0.215183593446464 0.224996416262068 0.155261644623347 0.133779264214047 0.182774321811069 0.218470928726675 0.264182424916574 0.324009619035565 0.306488552820338 0.192648532018186
"now" 0.21959360543421 0.280336403684421 0.195079995263233 0.171691448287193 0.198160535117057 0.35646337031574 0.252255092962759 0.255427841634738 0.255101323320536 0.206935701721761 0.258149032904369
"more" 0.264976283890613 0.280934135888439 0.292308363509446 0.267805799720693 0.340301003344482 0.193462878642126 0.188065180914199 0.195175709636221 0.202506011897228 0.220358558049659 0.222509054481005
"them" 0.450898869824911 0.252840722299595 0.271740824072747 0.355705249322271 0.391304347826087 0.213236708779581 0.176803792835505 0.184876199892885 0.186755544305222 0.178691774865142 0.18686907605764
"am" 0.0790536979563155 0.157203569656722 0.264884977593847 0.266162819354309 0.228260869565217 0.20361700763163 0.109235464363337 0.124109092407201 0.239632114078387 0.268736769398125 0.371811666795099
"out" 0.152251566434385 0.130305620475914 0.129014565557474 0.11007968454777 0.134615384615385 0.214839992304239 0.198200430185025 0.190025954764553 0.296446300749554 0.307047838500667 0.286083070047006
"mrs" 0.0570943374128945 0.133892013700022 0.436904398337146 0.281771132834963 0.44314381270903 0.134141388229761 0.0304057478124754 0.0798212005108557 0.190130644503509 0.188199631430737 0.377591122755645
"know" 0.175674884347368 0.218172254466554 0.210038205762651 0.194693173416578 0.193979933110368 0.121849547874046 0.127253685289249 0.162217278457545 0.250319931372963 0.222036415090646 0.26970794482546
"any" 0.137611992738771 0.144053461168327 0.408234494879929 0.220980859278732 0.326086956521739 0.111160991042989 0.115992297210554 0.0947554896386932 0.190130644503509 0.187081060070078 0.231178238421823
"such" 0.232769221760262 0.208608539202267 0.304773538925627 0.319559681261809 0.300167224080268 0.137347955279078 0.134010518136466 0.156037572611544 0.160879776118354 0.151566419369182 0.156045310934731
"up" 0.143467822217017 0.16676728492101 0.115926131370484 0.0911854103343465 0.092809364548495 0.206289146839394 0.149776461446638 0.15500762163721 0.261289007017396 0.246085699344797 0.273560915465824
"than" 0.18885050067342 0.206217610386195 0.258652389885757 0.231660231660232 0.301839464882943 0.152311934842558 0.172299237604027 0.19208585671322 0.148504408724634 0.163311418656092 0.164714494875549
"some" 0.238625051238508 0.185894715449584 0.165163574264399 0.173334428653578 0.179765886287625 0.198807157057654 0.2286061779975 0.229679067276398 0.160598517768496 0.186521774389749 0.150265854974185
"then" 0.263512326521052 0.286313725724601 0.106577249808348 0.143760782058654 0.12876254180602 0.263472925885547 0.236489149652586 0.179726445021217 0.154692092421494 0.172539632381522 0.169530708176004
"much" 0.162499268021315 0.148835318800471 0.302903762613199 0.269448780087078 0.24247491638796 0.110092135359884 0.12500140767351 0.127713920817369 0.174098918561645 0.18288641746761 0.159898281575094
"their" 0.316214791825262 0.122535101823681 0.189470666325952 0.363098660971001 0.414715719063545 0.185446461018833 0.197074291377155 0.169426935277881 0.128535065884768 0.0900449945329825 0.156045310934731
"should" 0.248872752825438 0.225942773118787 0.231229003970158 0.202908075248501 0.197324414715719 0.153915218367216 0.155407155485985 0.136468504099205 0.158067192619781 0.183725345988104 0.129074516452185
"who" 0.133220120630087 0.103407671295106 0.18386133738867 0.233303212026616 0.224916387959866 0.152311934842558 0.115992297210554 0.126683969843035 0.225850454935381 0.188199631430737 0.209986899899823
"did" 0.200562159629912 0.211597200222356 0.220010346095595 0.223445329828309 0.206521739130435 0.210564569571816 0.206083401840111 0.242553454455568 0.117003473540621 0.132271063397828 0.133890729752639
"never" 0.187386543303859 0.175733267981279 0.223126639949641 0.180727840302308 0.158026755852843 0.157121785416533 0.128379824097118 0.144708111893874 0.189568127803794 0.185123560188927 0.208060414579641
